"","intensityThreshold","orgBudget","repairRatio","extremeWeatherDamage","adaptThreshold","maxPrevention","param_set_id","mean_infra","org_repair_budget","org_vulnerability","repair_cost","extreme_weather_frequency","prevention","damage","run_id","run_duration"
"125",0,500,0,6,1,0,42,1,0,1,4152,100,0,6,2,1.51803994178772
"126",0,500,0,6,1,0,42,1,0,1,3953,100,0,6,3,0.934485197067261
"127",0,0,0.2,6,1,0,43,1,0,1,3875,100,0,6,3,0.962562084197998
"128",0,0,0.2,6,1,0,43,1,0,1,4228,100,0,6,1,1.02137994766235
"129",0,0,0.2,6,1,0,43,1,0,1,3769,100,0,6,2,1.14003205299377
"130",0,100,0.2,6,1,0,44,1.34567901234568,13,0.977160493827161,3852,100,0,6,1,0.980365037918091
"131",0,100,0.2,6,1,0,44,1.34567901234568,13.4,0.966759749167157,3844,100,0,6,2,1.01417183876038
"132",0,100,0.2,6,1,0,44,1.35802469135802,13,0.977048260381594,3851,100,0,6,3,1.1420361995697
"133",0,200,0.2,6,1,0,45,1.96296296296296,25.8,0.956145078058658,3302,100,0,6,3,1.41177082061768
"134",0,200,0.2,6,1,0,45,1.95061728395062,26,0.964352291512785,4126,100,0,6,1,1.32652997970581
"135",0,200,0.2,6,1,0,45,1.96296296296296,25.8,0.964335961249541,4033,100,0,6,2,1.32151818275452
"136",0,300,0.2,6,1,0,46,2.5679012345679,38.6,0.963823829295406,3451,100,0,6,3,1.46088695526123
"137",0,300,0.2,6,1,0,46,2.55555555555556,38.6,0.963832159713093,3777,100,0,6,2,1.45988202095032
"138",0,300,0.2,6,1,0,46,2.55555555555556,38.6,0.963829301670854,3698,100,0,6,1,1.62131404876709
"139",0,400,0.2,6,1,0,47,3.16049382716049,51.4,0.963593892529722,3832,100,0,6,2,1.31249284744263
"140",0,400,0.2,6,1,0,47,3.1358024691358,51.4,0.963602392523961,3327,100,0,6,3,1.08492016792297
"141",0,400,0.2,6,1,0,47,3.14814814814815,51.4,0.963598524830035,3565,100,0,6,1,1.09889078140259
"142",0,500,0.2,6,1,0,48,3.90123456790123,64.2,0.937947974315312,3583,100,0,6,1,0.931479215621948
"143",0,500,0.2,6,1,0,48,3.96296296296296,64.6,0.955203172429701,3442,100,0,6,2,0.888363838195801
"144",0,500,0.2,6,1,0,48,3.88888888888889,64.8,0.944008951590651,3853,100,0,6,3,0.912430047988892
"145",0,0,0.4,6,1,0,49,1,0,1,3785,100,0,6,3,1.1290020942688
"146",0,0,0.4,6,1,0,49,1,0,1,4354,100,0,6,1,0.887362003326416
"147",0,0,0.4,6,1,0,49,1,0,1,4003,100,0,6,2,0.885355949401855
"148",0,100,0.4,6,1,0,50,1.7037037037037,15.2,0.964918031684553,3537,100,0,6,3,0.910421848297119
"149",0,100,0.4,6,1,0,50,1.72839506172839,14.8,0.958762647359139,3826,100,0,6,2,0.90841817855835
"150",0,100,0.4,6,1,0,50,1.72839506172839,14.8,0.964876697917634,3722,100,0,6,1,0.921449899673462
