"BehaviorSpace results (NetLogo 6.0.2)"
"EW draft 1.nlogo"
"experiment1"
"04/04/2018 19:57:52:203 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","numMonths","adaptThreshold","adaptCostPerUnit","intensityThreshold","damageRatioThreshold","repairRatio","choose-strategy","interval","maxMemoryLength","changeRepairRatio?","maxPrevention","orgBudget","ExtremeWeatherDamage","cumDamageRatioThreshold","[step]","mean [infraQuality] of serviceArea","mean [infraVulnerability] of serviceArea","mean [currentDamage] of serviceArea","extremeWeatherFreq","mean [prevention] of serviceArea"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","11","49.75308641975309","0.046416751710017315","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","16","44.79012345679013","0.08784412594184975","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","28","53.41975308641975","0.032756978949419605","0","7","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","12","49.75308641975309","0.04641675171001731","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","17","44.79012345679013","0.08784412594184976","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","29","53.41975308641975","0.03275697894941961","0","8","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","17","47.901234567901234","0.09740712993218867","2.0864197530864197","2","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","30","53.41975308641975","0.0327569789494196","0","8","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","25","49.925925925925924","0.06135906357170683","0","5","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","13","49.75308641975309","0.04641675171001731","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","18","44.79012345679013","0.08784412594184977","0","7","0"
"3","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","15","43.49382716049383","0.06404772882996335","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","31","53.41975308641975","0.0327569789494196","0","8","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","32","53.41975308641975","0.03275697894941961","0","8","0"
"6","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","14","49.75308641975309","0.04641675171001731","0","0","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","19","44.79012345679013","0.08784412594184975","0","7","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","33","53.41975308641975","0.0327569789494196","0","8","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","26","49.925925925925924","0.061359063571706826","0","5","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","11","44.370370370370374","0.12225336866024038","0","4","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","34","53.41975308641975","0.03275697894941961","0","9","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","35","53.41975308641975","0.03275697894941961","0","9","0"
"2","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","2","20","44.79012345679013","0.08784412594184976","0","7","0"
"5","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","10","27","49.925925925925924","0.06135906357170683","0","5","0"
"4","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","0","5","36","53.41975308641975","0.032756978949419605","0","10","0"
"7","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","18","47.901234567901234","0.09740712993218867","0","2","0"
"8","24","4","1","0.8","0.08","0.5","""rememberFrequency""","11","5","false","0","0","5","2","12","42.592592592592595","0.15235478244484585","1.8888888888888888","5","0"
